"Bitcoin Diamond
(BCD)","1.74
USD"
"Arionum
(ARO)","0.038763
USD"
"Patientory
(PTOY)","0.031953
USD"
"Dether
(DTH)","0.018826
USD"
"Unibright
(UBT)","0.013989
USD"
"Smartshare
(SSP)","0.000811
USD"
"ClearCoin
(XCLR)","0.002035
USD"
"SportyCo
(SPF)","0.016359
USD"
"AidCoin
(AID)","0.049995
USD"
"Darico Ecosystem Coin
(DEC)","0.071895
USD"
"Kryll
(KRL)","0.080102
USD"
"FREE Coin
(FREE)","0.000002
USD"
"LoMoCoin
(LMC)","0.006771
USD"
"Litecoin
(LTC)","53.38
USD"
"MARK.SPACE
(MRK)","0.006445
USD"
"AurumCoin
(AU)","13.50
USD"
"Monster Byte
(MBI)","0.032296
USD"
"Divi Exchange Token
(DIVX)","0.991724
USD"
)","0.019552
USD"

D"
"Indorse Token
(IND)","0.031820
USD"
"VULCANO
(VULC)","0.011898
USD"
"Maverick Chain
(MVC)","0.008205
USD"
"Pal Network
(PAL)","0.006250
USD"
"BitClave
(CAT)","0.002836
USD"
"Qbao
(QBT)","0.053070
USD"
"Nework
(NKC)","0.015140
USD"
"Bezop
(BEZ)","0.047418
USD"
"Bitcoin Incognito
 (XBI)","0.149451
USD"
"RED
(RED)","0.023282
USD"
"RoBET
(ROBET)","0.581432
USD"
D"
"Sharpe Platform Token
(SHP)","0.111327
USD"
"Espers
(ESP)","0.000129
USD"
"Mysterium
(MYST)","0.133605
USD"
"No BS Crypto
(NOBS)","0.000840
USD"
"Devery
(EVE)","0.021262
USD"
"Parkgene
(GENE)","0.002907
USD"
"Uquid Coin
(UQC)","0.161722
"ATMChain
(ATM)","0.000253
USD"
"Privatix
(PRIX)","1.05
USD"
SD"
SD"
"DubaiCoin
(DBIX)","1.79
USD"
"ALIS
(ALIS)","0.046165
USD"
"Flixxo
(FLIXX)","0.034420
USD"
"GoByte
(GBX)","0.768663
USD"
"HOQU
(HQX)","0.006008
USD"
"BitMart Token
(BMX)","0.027699
USD"
"Hush
(HUSH)","0.108731
USD"
"Niobium Coin
(NBC)","0.060512
USD"
"Expanse
(EXP)","0.220656
USD"
"BetterBetting
(BETR)","0.006541
USD"
"InvestFeed
(IFT)","0.012531
USD"
"EverGreenCoin
(EGC)","0.046072
USD"
"Aventus
(AVT)","0.370448
USD"
"Atmos
(ATMOS)","0.014536
USD"
"Breakout Stake
(BRX)","0.241302
USD"
"ThoreCoin
(THR)","33.45
USD"
"WeAreSatoshi
(WSX)","0.033143
USD"
"Tether
(USDT)","0.982501
USD"
"HunterCoin
(HUC)","0.030688
USD"
"Aphelion
(APH)","0.048285
USD"
"Bit-Z Token
(BZ)","0.109339
USD"
"ATLANT
(ATL)","0.035429
USD"
"0xBitcoin
(0xBTC)","0.272538
USD"
"Zeitcoin
(ZEIT)","0.000048
USD"
"Yocoin
(YOC)","0.013032
USD"
"FedoraCoin
(TIPS)","0.000010
USD"
"Cardano
(ADA)","0.076422
USD"
"Insights Network
(INSTAR)","0.012084
USD"
"Terracoin
(TRC)","0.034877
USD"
"Sequence
(SEQ)","0.051620
USD"
"Digix Gold Token
(DGX)","42.67
USD"
"MyBit
(MYB)","0.022753
USD"
"Playkey
(PKT)","0.109881
USD"
"Rate3
(RTE)","0.007348
USD"
"Neurotoken
(NTK)","0.036285
USD"
"BitSend
(BSD)","0.156420
USD"
"BitCoen
(BEN)","0.076740
USD"
"Kore
(KORE)","0.441757
USD"
"Social Send
(SEND)","0.046158
USD"
"Lampix
(PIX)","0.012277
USD"
"Verify
(CRED)","0.058822
USD"
"Zap
(ZAP)","0.018355
USD"
"Swarm City
(SWT)","0.252312
USD"
"Education Ecosystem
(LEDU)","0.010105
USD"
"Pesetacoin
(PTC)","0.005352
USD"
"BoutsPro
(BOUTS)","0.007960
USD"
"Monero
(XMR)","103.86
USD"
"Crowd Machine
(CMCT)","0.003080
USD"
"Circuits of Value
 (COVAL)","0.003230
USD"
"HeartBout
(HB)","0.028099
USD"
"ZMINE
(ZMN)","0.022458
USD"
"FlypMe
(FYP)","0.045224
USD"
"CannabisCoin
(CANN)","0.014421
USD"
"Sphere
(SPHR)","0.535581
USD"
"Traceability Chain
(TAC)","0.004635
USD"
"PinkCoin
(PINK)","0.005360
USD"
"Alphacat
(ACAT)","0.000781
USD"
"Profile Utility Token
(PUT)","0.013738
USD"
"AirToken
(AIR)","0.002192
USD"
"Relex
(RLX)","0.002584
USD"
"Nullex
(NLX)","0.013170
USD"
"Crave
(CRAVE)","0.047202
USD"
"HEROcoin
(PLAY)","0.012217
USD"
"GoNetwork
(GOT)","0.052020
USD"
"Ormeus Coin
(ORME)","0.183328
USD"
"Carboncoin
(CARBON)","0.000065
USD"
"Banyan Network
(BBN)","0.007645
USD"
"Paypex
(PAYX)","0.011553
USD"
"ClearPoll
(POLL)","0.384951
USD"
"Pirl
(PIRL)","0.081176
USD"
"Kora Network Token
(KNT)","0.004787
USD"
"TRON
(TRX)","0.024180
USD"
"Galactrum
(ORE)","0.245521
USD"
"Vexanium
(VEX)","0.010570
USD"
"IQeon
(IQN)","0.193156
USD"
"Condominium
(CDM)","0.001338
USD"
"Qwark
(QWARK)","0.016648
USD"
"BitcoinZ
(BTCZ)","0.000613
USD"
"Effect.AI
(EFX)","0.011149
USD"
"Atonomi
(ATMI)","0.007018
USD"
"XMCT
(XMCT)","0.006296
USD"
"Zero
(ZER)","0.242097
USD"
"Formosa Financial
 (FMF)","0.003793
USD"
"FintruX Network
(FTX)","0.016785
USD"
"Auctus
(AUC)","0.034067
USD"
"ZEST
(ZEST)","0.487926
USD"
"adbank
(ADB)","0.002975
USD"
"Repme
(RPM)","0.000020
USD"
"eBoost
(EBST)","0.048454
USD"
"Masari
(MSR)","0.290614
USD"
"VeriumReserve
(VRM)","0.534897
USD"
"ALAX
(ALX)","0.006131
USD"
"NetKoin
(NTK)","0.000145
USD"
"Datawallet
(DXT)","0.009182
USD"
"PyrexCoin
(PYX)","0.060514
USD"
"Eristica
(ERT)","0.005778
USD"
"Upfiring
(UFR)","0.050919
USD"
"Knoxstertoken
(FKX)","0.005076
USD"
"HeroNode
(HER)","0.002134
USD"
"Ergo
(EFYT)","1.81
USD"
"NeuroChain
(NCC)","0.012233
USD"
"EnergiToken
(ETK)","0.001680
USD"
"Radium
(RADS)","1.11
USD"
"Sharder
(SS)","0.008764
USD"
"Orbitcoin
(ORB)","0.140893
USD"
"Travelflex
(TRF)","0.011245
USD"
"Truegame
(TGAME)","0.010391
USD"
"Nimiq Exchange Token
(NET)","0.111694
USD"
"Akroma
(AKA)","0.043415
USD"
"AudioCoin
(ADC)","0.001039
USD"
"Abulaba
(AAA)","0.122871
USD"
"Guaranteed Ethurance Token Extra
(GETX)","0.003422
USD"
"Sether
(SETH)","0.094046
USD"
"1World
(1WO)","0.097824
USD"
"XcelToken
(XCEL)","0.018681
USD"
"FORCE
(FOR)","0.003489
USD"
"Ondori
(RSTR)","0.000103
USD"
"DNotes
(NOTE)","0.019082
USD"
"White Standard
(WSD)","1.02
USD"
"Bigbom
(BBO)","0.001780
USD"
"Sentinel Chain
(SENC)","0.009662
USD"
"Zippie
(ZIPT)","0.005700
USD"
"MTC Mesh Network
(MTC)","0.004101
USD"
"Photon
(PHO)","0.000019
USD"
"LikeCoin
(LIKE)","0.002738
USD"
"eBitcoin
(EBTC)","0.046547
USD"
163
USD"
"Lethean
(LTHN)","0.002966
USD"
"SunContract
(SNC)","0.032676
USD"
"AMLT
(AMLT)","0.018415
USD"
"Turtlecoin
(TRTL)","0.000036
USD"
"Sp8de
(SPX)","0.000125
USD"
"ExclusiveCoin
(EXCL)","0.202166
USD"
"Cryptosolartech
(CST)","0.019111
USD"
"EquiTrader
(EQT)","0.061138
USD"
"BBSCoin
(BBS)","0.000007
USD"
"Bob's Repair
(BOB)","0.032922
USD"
"Zilla
(ZLA)","0.061540
USD"
"Iungo
(ING)","0.012003
USD"
"Forty Seven Bank
(FSBT)","0.158637
USD"
"CommerceBlock
(CBT)","0.010937
USD"
"MyWish
(WISH)","0.049100
USD"
"Faceter
(FACE)","0.003313
USD"
"Publica
(PBL)","0.065688
USD"
"Spectiv
(SIG)","0.003605
USD"
"Internet of People
(IOP)","0.250884
USD"
"Block Array
(ARY)","0.017003
USD"
"Bridge Protocol
(TOLL)","0.001957
USD"
"Worldcore
(WRC)","0.005478
USD"
"Paymon
(PMNT)","0.000910
USD"
"Memetic / PepeCoin
(MEME)","0.040120
USD"
"Oyster Shell
(SHL)","0.030415
USD"
"WeTrust
(TRST)","0.026908
USD"
"AiLink Token
(ALI)","0.000769
USD"
"AICHAIN
(AIT)","0.002168
USD"
"BlockCAT
(CAT)","0.092441
USD"
"Invacio
(INV)","0.014673
USD"
"Pluton
(PLU)","1.43
USD"
"Aigang
(AIX)","0.024789
USD"
"Hurify
(HUR)","0.004412
USD"
"GoldMint
(MNTP)","0.490986
USD"
"Cazcoin
(CAZ)","0.014109
USD"
"MNPCoin
(MNP)","0.290191
USD"
"BunnyCoin
 (BUN)","0.000004
USD"
"Stipend
(SPD)","0.110476
USD"
"Blockpool
(BPL)","0.038311
USD"
"TrezarCoin
(TZC)","0.004903
USD"
"Bitcrystals
(BCY)","0.027996
USD"
"Altcoin
(ALT)","3.45
USD"
"Rupee
(RUP)","0.042383
USD"
"Acute Angle Cloud
(AAC)","0.009922
USD"
"CyberMusic
(CYMT)","0.000036
USD"
"Engagement Token
(ENGT)","0.001595
USD"
"Nimiq
(NIM)","0.001147
USD"
"PeepCoin
(PCN)","0.000020
USD"
"ShowHand
(HAND)","0.000007
USD"
"TrueUSD
(TUSD)","1.01
USD"
"Cryptonex
(CNX)","2.13
USD"
"Digitex Futures
(DGTX)","0.128761
USD"
"Electroneum
(ETN)","0.019729
USD"
"Kin
(KIN)","0.000058
USD"
"0x
(ZRX)","0.902165
USD"
"Viacoin
(VIA)","0.678327
USD"
"Ubex
(UBEX)","0.001946
USD"
"Ifoods Chain
(IFOOD)","0.002272
USD"
"IoT Chain
(ITC)","0.235768
USD"
"Waltonchain
(WTC)","2.93
USD"
"Red Pulse Phoenix
 (PHX)","0.014109
USD"
"Raiden Network Token
(RDN)","0.593699
USD"
"OmiseGO
(OMG)","3.34
USD"
"Gifto
(GTO)","0.071855
USD"
"Aurora
(AOA)","0.025716
USD"
"Genesis Vision
(GVT)","13.78
USD"
"EDUCare
(EKT)","0.017319
USD"
"Genaro Network
(GNX)","0.051791
USD"
"Bitcoin
(BTC)","6473.80
USD"
"STASIS EURS
(EURS)","1.14
USD"
"Bitcoin Diamond
(BCD)","1.74
USD"
"LockTrip
(LOC)","0.588181
USD"
"OST
(OST)","0.047033
USD"
"Everus
(EVR)","0.013196
USD"
"Nasdacoin
(NSD)","0.231159
USD"
"Wings
(WINGS)","0.173221
USD"
"Storm
(STORM)","0.007976
USD"
"Substratum
(SUB)","0.114713
USD"
"OAX
(OAX)","0.253485
USD"
"Civic
(CVC)","0.140675
USD"
"TokenClub
(TCT)","0.027538
USD"
"Phore
(PHR)","0.484960
USD"
"QASH
(QASH)","0.216309
USD"
"Metaverse ETP
(ETP)","3.03
USD"
"TE-FOOD
(TFD)","0.012038
USD"
"OracleChain
(OCT)","0.145114
USD"
"bitCNY
(BITCNY)","0.145729
USD"
"SingularityNET
(AGI)","0.052702
USD"
"Boolberry
(BBR)","0.954771
USD"
"Nectar
(NEC)","0.512127
USD"
"Elastos
(ELA)","9.23
USD"
"Nxt
(NXT)","0.060343
USD"
"High Performance Blockchain
(HPB)","0.704113
USD"
"Cashbery Coin
(CBC)","0.851852
USD"
"MediBloc [QRC20]
(MED)","0.004082
USD"
"Dimecoin
(DIME)","0.000010
USD"
"BlockMason Credit Protocol
(BCPT)","0.111262
USD"
"HashCoin
(HSC)","0.000355
USD"
"Bitcoin Gold
(BTG)","26.60
USD"
"ETHLend
(LEND)","0.018856
USD"
"WhiteCoin
(XWC)","0.072949
USD"
"Swarm
(SWM)","0.140193
USD"
"Eidoo
(EDO)","1.21
USD"
"Electra
(ECA)","0.000458
USD"
"ZClassic
(ZCL)","3.40
USD"
"Monetha
(MTH)","0.037162
USD"
"RevolutionVR
(RVR)","0.032097
USD"
"HempCoin
(THC)","0.024538
USD"
"ReddCoin
(RDD)","0.003104
USD"
"DATx
(DATX)","0.003815
USD"
"CPChain
(CPC)","0.025910
USD"
"COSS
(COSS)","0.065093
USD"
"Patron
(PAT)","0.021551
USD"
"Cappasity
(CAPP)","0.008434
USD"
"Ardor
(ARDR)","0.113935
USD"
"Everex
(EVX)","0.542501
USD"
"eosDAC
(EOSDAC)","0.023534
USD"
"Synereo
(AMP)","0.043466
USD"
"IOTA
(MIOTA)","0.500034
USD"
"BitShares
(BTS)","0.099818
USD"
"PolySwarm
(NCT)","0.003322
USD"
"CasinoCoin
(CSC)","0.000388
USD"
"Selfkey
(KEY)","0.006009
USD"
"NavCoin
(NAV)","0.364951
USD"
"Crown
(CRW)","0.352588
USD"
"DeepBrain Chain
(DBC)","0.007449
USD"
"AppCoins
(APPC)","0.104161
USD"
"DEW
(DEW)","0.187611
USD"
"Holo
(HOT)","0.001132
USD"
"New Power Coin
(NPW)","0.382413
USD"
"Revain
(R)","0.148595
USD"
"Nexo
(NEXO)","0.107154
USD"
"Sakura Bloom
(SKB)","0.003545
USD"
"QLC Chain
(QLC)","0.050469
USD"
"XYO Network
(XYO)","0.002741
USD"
"Mercury
(MER)","0.115735
USD"
"PIVX
(PIVX)","1.32
USD"
"WaykiChain
(WICC)","0.221909
USD"
"XinFin Network
(XDCE)","0.001428
USD"
"BABB
(BAX)","0.000629
USD"
"Consensus
(SEN)","0.002948
USD"
"MobileGo
(MGO)","0.471254
USD"
"Cofound.it
(CFI)","0.026237
USD"
"Agrello
(DLT)","0.094402
USD"
"Brickblock
(BBK)","0.088395
USD"
"Bluzelle
(BLZ)","0.133030
USD"
"Ontology
(ONT)","1.83
USD"
"DigitalNote
(XDN)","0.002972
USD"
"BLOCKv
(VEE)","0.009097
USD"
"Neumark
(NEU)","0.339155
USD"
"CEEK VR
(CEEK)","0.010988
USD"
"Ethereum
(ETH)","205.44
USD"
"OriginTrail
(TRAC)","0.032053
USD"
"Switcheo
(SWTH)","0.008325
USD"
"SIRIN LABS Token
(SRN)","0.075087
USD"
"Rock
(RKT)","0.029458
USD"
"ICE ROCK MINING
(ROCK2)","0.379401
USD"
"Airbloc
(ABL)","0.029377
USD"
"Matrix AI Network
(MAN)","0.229919
USD"
"Aion
(AION)","0.446604
USD"
"MassGrid
(MGD)","0.081534
USD"
"DigiByte
(DGB)","0.023408
USD"
"MaidSafeCoin
(MAID)","0.196894
USD"
"Blockport
(BPT)","0.098851
USD"
"Fortuna
(FOTA)","0.016685
USD"
"Propy
(PRO)","0.378309
USD"
"Eximchain
(EXC)","0.100314
USD"
"Horizen
(ZEN)","14.26
USD"
"Dash
(DASH)","154.45
USD"
"Hubii Network
(HBT)","0.348591
USD"
"Delphy
(DPY)","0.223660
USD"
"SmartCash
(SMART)","0.021663
USD"
"MediBloc [ERC20]
(MEDX)","0.006575
USD"
"Moeda Loyalty Points
(MDA)","1.92
USD"
"BitNewChain
(BTN)","0.045050
USD"
"Endor Protocol
(EDR)","0.047591
USD"
"Graft
(GRFT)","0.020287
USD"
"Ethos
(ETHOS)","0.415737
USD"
"BitBay
(BAY)","0.019217
USD"
"SwissBorg
(CHSB)","0.009768
USD"
"Paxos Standard Token
(PAX)","1.01
USD"
"Mainframe
(MFT)","0.007456
USD"
"SIX
(SIX)","0.026486
USD"
"Oyster
(PRL)","0.162032
USD"
"Veritaseum
(VERI)","28.39
USD"
"TaTaTu
(TTU)","0.123625
USD"
"PotCoin
(POT)","0.024520
USD"
"Golem
(GNT)","0.154707
USD"
"Siacoin
(SC)","0.006862
USD"
"Qtum
(QTUM)","3.95
USD"
"Nebulas
(NAS)","1.65
USD"
"Blox
(CDT)","0.016545
USD"
"MktCoin
(MLM)","0.005236
USD"
"Feathercoin
(FTC)","0.042520
USD"
"Flash
(FLASH)","0.005877
USD"
"Elastic
(XEL)","0.069128
USD"
"Everipedia
(IQ)","0.009666
USD"
"Primecoin
(XPM)","0.561262
USD"
"XRP
(XRP)","0.458620
USD"
"DECENT
(DCT)","0.199528
USD"
"Asch
(XAS)","0.184525
USD"
"MonetaryUnit
(MUE)","0.036122
USD"
"Spectrecoin
(XSPEC)","0.217559
USD"
"NIX
(NIX)","0.277588
USD"
"aXpire
(AXPR)","0.015715
USD"
"VIBE
(VIBE)","0.077228
USD"
"SwftCoin
(SWFTC)","0.002445
USD"
"Apollo Currency
(APL)","0.001452
USD"
"ALQO
(XLQ)","0.179410
USD"
"Ripio Credit Network
(RCN)","0.029214
USD"
"Loopring
(LRC)","0.112236
USD"
"Achain
(ACT)","0.028865
USD"
"ProximaX
(XPX)","0.003154
USD"
"GINcoin
(GIN)","2.11
USD"
"Binance Coin
(BNB)","9.75
USD"
"Ternio
(TERN)","0.015997
USD"
"Stratis
(STRAT)","1.42
USD"
"REPO
(REPO)","0.100001
USD"
"Bytecoin
(BCN)","0.001349
USD"
"QuarkChain
(QKC)","0.059493
USD"
"PCHAIN
(PAI)","0.022908
USD"
"Aeron
(ARN)","0.728198
USD"
"Ambrosus
(AMB)","0.203237
USD"
"SpaceChain
(SPC)","0.013632
USD"
"SaluS
(SLS)","17.97
USD"
"Wagerr
(WGR)","0.153678
USD"
"UpToken
(UP)","0.032303
USD"
"Qubitica
(QBIT)","3.25
USD"
"BridgeCoin
(BCO)","1.39
USD"
"Covesting
(COV)","0.789776
USD"
"RChain
(RHOC)","0.145398
USD"
"GameCredits
(GAME)","0.172229
USD"
"Decred
(DCR)","38.30
USD"
"Bancor
(BNT)","1.29
USD"
"Hi Mutual Society
 (HMC)","0.014496
USD"
"Bread
(BRD)","0.376126
USD"
"Banca
(BANCA)","0.000233
USD"
"Rotharium
(RTH)","3.95
USD"
"Crypto.com
(MCO)","4.45
USD"
"FLO
(FLO)","0.038053
USD"
"Emercoin
(EMC)","0.975411
USD"
"TraDove B2BCoin
(BBC)","0.010813
USD"
"Refereum
(RFR)","0.005334
USD"
"BnkToTheFuture
(BFT)","0.035823
USD"
"Vitae
(VITAE)","2.99
USD"
"Olympus Labs
(MOT)","0.164166
USD"
"Dero
(DERO)","1.71
USD"
"MinexCoin
(MNX)","1.94
USD"
"SafeInsure
(SINS)","5.15
USD"
"Wanchain
(WAN)","0.996493
USD"
"ARBITRAGE
(ARB)","6.29
USD"
"Kyber Network
(KNC)","0.423589
USD"
"AirSwap
(AST)","0.096130
USD"
"Arcblock
(ABT)","0.202875
USD"
"LEOcoin
(LEO)","0.112715
USD"
"ODEM
(ODE)","0.134375
USD"
"Cashaa
(CAS)","0.010766
USD"
"Cindicator
(CND)","0.027956
USD"
"iExec RLC
(RLC)","0.462583
USD"
"DADI
(DADI)","0.084042
USD"
"Cobinhood
(COB)","0.026618
USD"
"Time New Bank
(TNB)","0.010312
USD"
"Dock
(DOCK)","0.020801
USD"
"aelf
(ELF)","0.338464
USD"
"Cortex
(CTXC)","0.311604
USD"
"Aragon
(ANT)","0.715815
USD"
"DATA
(DTA)","0.002961
USD"
"Mobius
(MOBI)","0.028523
USD"
"YOYOW
(YOYOW)","0.031549
USD"
"ColossusXT
(COLX)","0.000517
USD"
"ToaCoin
 (TOA)","0.001614
USD"
"ZrCoin
(ZRC)","1.82
USD"
"Basic Attention Token
(BAT)","0.233830
USD"
"Lympo
(LYM)","0.018251
USD"
"XTRABYTES
(XBY)","0.027735
USD"
"BHPCash
(BHPC)","1.14
USD"
"Bitcoin Atom
(BCA)","0.288518
USD"
"Pandacoin
(PND)","0.000128
USD"
"carVertical
(CV)","0.001242
USD"
"Aeternity
(AE)","1.39
USD"
"Hiveterminal Token
(HVN)","0.020483
USD"
"Ink
(INK)","0.019441
USD"
"Xaurum
(XAUR)","0.042301
USD"
"Loom Network
(LOOM)","0.123119
USD"
"Envion
(EVN)","0.038428
USD"
"ContentBox
(BOX)","0.010616
USD"
"Cube
(AUTO)","0.002651
USD"
"Bitcore
(BTX)","0.767034
USD"
"WAX
(WAX)","0.074093
USD"
"Global Currency Reserve
(GCR)","0.161643
USD"
"AVINOC
(AVINOC)","0.013551
USD"
"NEO
(NEO)","16.57
USD"
"Mixin
(XIN)","125.86
USD"
"Steem
(STEEM)","0.827435
USD"
"Po.et
(POE)","0.011501
USD"
"Blue Whale Token
(BWX)","0.000274
USD"
"PayPie
(PPP)","0.123216
USD"
"Credits
(CS)","0.146014
USD"
"Particl
(PART)","2.22
USD"
"Mass Vehicle Ledger
(MVL)","0.001874
USD"
"FansTime
(FTI)","0.001950
USD"
"Vertcoin
(VTC)","0.694681
USD"
"Hydro
(HYDRO)","0.004073
USD"
"Thingschain
(TIC)","0.000389
USD"
"Dragonchain
(DRGN)","0.195789
USD"
"BOXX Token [Blockparty]
(BOXX)","0.187306
USD"
"Decentraland
(MANA)","0.070263
USD"
"BitTube
(TUBE)","0.088114
USD"
"Melon
(MLN)","10.49
USD"
"SPINDLE
(SPD)","0.001760
USD"
"APIS
(APIS)","0.002714
USD"
"Telcoin
(TEL)","0.000841
USD"
"SmartMesh
(SMT)","0.017654
USD"
"Centrality
(CENNZ)","0.036507
USD"
"Buggyra Coin Zero
 (BCZERO)","0.008020
USD"
"GXChain
(GXS)","1.40
USD"
"DAEX
(DAX)","0.018248
USD"
"DIMCOIN
(DIM)","0.002236
USD"
"Counterparty
(XCP)","3.46
USD"
"Unobtanium
(UNO)","72.10
USD"
"Nexty
(NTY)","0.000085
USD"
"Polymath
(POLY)","0.231041
USD"
"IOST
(IOST)","0.012155
USD"
"Storiqa
(STQ)","0.002283
USD"
"INS Ecosystem
(INS)","0.501840
USD"
"Bitcoin Cash
(BCH)","444.76
USD"
"MidasProtocol
(MAS)","0.020550
USD"
"Lisk
(LSK)","2.91
USD"
"Augur
(REP)","12.51
USD"
"Dent
(DENT)","0.002182
USD"
"DeepOnion
(ONION)","0.339173
USD"
"E-Dinar Coin
(EDR)","0.012929
USD"
"0chain
(ZCN)","0.275163
USD"
"TTC Protocol
(TTC)","0.073229
USD"
"Aeon
(AEON)","0.532192
USD"
"ECC
(ECC)","0.000258
USD"
"Quant
(QNT)","1.74
USD"
"HTMLCOIN
(HTML)","0.000152
USD"
"AdEx
(ADX)","0.259787
USD"
"Happycoin
(HPC)","0.310043
USD"
"MonaCoin
(MONA)","1.17
USD"
"Bitcoin Interest
(BCI)","0.974012
USD"
"QunQun
(QUN)","0.007723
USD"
"Bloom
(BLT)","0.170387
USD"
"Global Social Chain
(GSC)","0.012934
USD"
"Phantasma
(SOUL)","0.089023
USD"
"Unikoin Gold
(UKG)","0.032720
USD"
"KuCoin Shares
(KCS)","1.07
USD"
"Komodo
(KMD)","1.26
USD"
"IoTeX
(IOTX)","0.016717
USD"
"EOS
(EOS)","5.38
USD"
"Lunyr
(LUN)","4.95
USD"
"bitUSD
(BITUSD)","1.01
USD"
"Jibrel Network
(JNT)","0.115052
USD"
"Steem Dollars
(SBD)","1.00
USD"
"Litecoin Cash
(LCC)","0.024229
USD"
"HorusPay
(HORUS)","0.014648
USD"
"Medicalchain
(MTN)","0.022444
USD"
"Linkey
(LKY)","0.727751
USD"
"Ubiq
(UBQ)","0.491773
USD"
"Aurora DAO
(AURA)","0.067449
USD"
"Noah Coin
(NOAH)","0.001426
USD"
"Nano
(NANO)","2.11
USD"
"Haven Protocol
(XHV)","1.86
USD"
"Numeraire
(NMR)","5.25
USD"
"Dai
(DAI)","1.02
USD"
"Odyssey
(OCN)","0.011367
USD"
"Zipper
(ZIP)","0.001481
USD"
"Dovu
(DOV)","0.013571
USD"
"Lamden
(TAU)","0.043726
USD"
"Moss Coin
(MOC)","0.066143
USD"
"Ark
(ARK)","0.775074
USD"
"BitKan
(KAN)","0.004455
USD"
"Insight Chain
(INB)","0.279367
USD"
"LinkEye
(LET)","0.010709
USD"
"STK
(STK)","0.013072
USD"
"Ethereum Classic
(ETC)","9.65
USD"
"ChatCoin
(CHAT)","0.012861
USD"
"Tokenomy
(TEN)","0.154829
USD"
"CRYPTO20
(C20)","0.713000
USD"
"Restart Energy MWAT
(MWAT)","0.016521
USD"
"UNIVERSAL CASH
(UCASH)","0.000513
USD"
"Quantum Resistant Ledger
(QRL)","0.253057
USD"
"All Sports
(SOC)","0.013642
USD"
"Bulwark
(BWK)","0.663212
USD"
"Crypterium
(CRPT)","0.338812
USD"
"Burst
(BURST)","0.008363
USD"
"Chronobank
(TIME)","7.98
USD"
"Skrumble Network
(SKM)","0.006832
USD"
"Pura
(PURA)","0.031787
USD"
"Dentacoin
(DCN)","0.000223
USD"
"Chainlink
(LINK)","0.366637
USD"
"Wowbit
(WWB)","0.051428
USD"
"district0x
(DNT)","0.025371
USD"
"ATN
(ATN)","0.109235
USD"
"Ravencoin
(RVN)","0.030241
USD"
"Mothership
(MSP)","0.072431
USD"
"Eden
(EDN)","0.017414
USD"
"LoyalCoin
(LYL)","0.002397
USD"
"Blocktix
(TIX)","0.225209
USD"
"CVCoin
(CVN)","0.364332
USD"
"NEM
(XEM)","0.094903
USD"
"Bitcoin Green
(BITG)","1.99
USD"
"Ecoreal Estate
(ECOREAL)","0.063453
USD"
"Diamond
(DMD)","1.92
USD"
"Blackmoon
(BMC)","0.237550
USD"
"HyperCash
(HC)","1.89
USD"
"Electrify.Asia
(ELEC)","0.009227
USD"
"Databits
(DTB)","0.181930
USD"
"THEKEY
(TKY)","0.005317
USD"
"TokenPay
(TPAY)","1.25
USD"
"WaBi
(WABI)","0.261846
USD"
"LUXCoin
(LUX)","1.96
USD"
"USD//Coin
(USDC)","1.01
USD"
"Nexus
(NXS)","0.672032
USD"
"Storj
(STORJ)","0.340275
USD"
"OptiToken
(OPTI)","0.269090
USD"
"Gnosis
(GNO)","20.02
USD"
"Blocknet
(BLOCK)","3.70
USD"
"Factom
(FCT)","4.17
USD"
"Trade Token
(TIO)","0.186312
USD"
"Sentinel Protocol
(UPP)","0.028122
USD"
"Apex
(CPX)","0.029490
USD"
"SpankChain
(SPANK)","0.059371
USD"
"Dynamic Trading Rights
(DTR)","0.017085
USD"
"Stellar
(XLM)","0.243838
USD"
"U Network
(UUU)","0.000771
USD"
"Santiment Network Token
(SAN)","0.454537
USD"
"Etherparty
(FUEL)","0.021487
USD"
"Shift
(SHIFT)","0.556539
USD"
"Bytom
(BTM)","0.212208
USD"
"Zilliqa
(ZIL)","0.034605
USD"
"ETERNAL TOKEN
(XET)","1.60
USD"
"Scry.info
(DDD)","0.069345
USD"
"Havven
(HAV)","0.127586
USD"
"Gas
(GAS)","5.34
USD"
"Bankex
(BKX)","0.068813
USD"
"MOAC
(MOAC)","1.16
USD"
"United Traders Token
(UTT)","0.268803
USD"
"Loki
(LOKI)","0.435674
USD"
"LBRY Credits
(LBC)","0.047090
USD"
"B2BX
(B2B)","0.481540
USD"
"Constellation
(DAG)","0.006706
USD"
"Tezos
(XTZ)","1.31
USD"
"
"Pepe Cash
(PEPECASH)","0.007329
USD"
